 # xp yp zp bx by bz
 0.34483E+00 -0.33103E+00  0.00000E+00  0.11482E-03  0.30095E-03  0.53822E-02
 0.35862E+00 -0.33103E+00  0.00000E+00  0.12373E-03  0.28707E-03  0.51331E-02
 0.37241E+00 -0.33103E+00  0.00000E+00  0.13108E-03  0.27258E-03  0.48721E-02
 0.38621E+00 -0.33103E+00  0.00000E+00  0.13690E-03  0.25777E-03  0.46044E-02
 0.40000E+00 -0.33103E+00  0.00000E+00  0.14125E-03  0.24286E-03  0.43347E-02
 0.00000E+00 -0.31724E+00  0.00000E+00 -0.12769E-03  0.17544E-03  0.28494E-02
 0.13793E-01 -0.31724E+00  0.00000E+00 -0.12743E-03  0.18643E-03  0.30324E-02
 0.27586E-01 -0.31724E+00  0.00000E+00 -0.12647E-03  0.19778E-03  0.32222E-02
 0.41379E-01 -0.31724E+00  0.00000E+00 -0.12473E-03  0.20942E-03  0.34176E-02
 0.55172E-01 -0.31724E+00  0.00000E+00 -0.12214E-03  0.22127E-03  0.36173E-02
 0.68966E-01 -0.31724E+00  0.00000E+00 -0.11862E-03  0.23321E-03  0.38197E-02
 0.82759E-01 -0.31724E+00  0.00000E+00 -0.11411E-03  0.24513E-03  0.40229E-02
 0.96552E-01 -0.31724E+00  0.00000E+00 -0.10855E-03  0.25689E-03  0.42247E-02
 0.11034E+00 -0.31724E+00  0.00000E+00 -0.10192E-03  0.26835E-03  0.44225E-02
 0.12414E+00 -0.31724E+00  0.00000E+00 -0.94190E-04  0.27934E-03  0.46139E-02
 0.13793E+00 -0.31724E+00  0.00000E+00 -0.85364E-04  0.28969E-03  0.47957E-02
 0.15172E+00 -0.31724E+00  0.00000E+00 -0.75470E-04  0.29923E-03  0.49651E-02
 0.16552E+00 -0.31724E+00  0.00000E+00 -0.64557E-04  0.30777E-03  0.51187E-02
 0.17931E+00 -0.31724E+00  0.00000E+00 -0.52706E-04  0.31515E-03  0.52535E-02
 0.19310E+00 -0.31724E+00  0.00000E+00 -0.40022E-04  0.32120E-03  0.53665E-02
 0.20690E+00 -0.31724E+00  0.00000E+00 -0.26642E-04  0.32577E-03  0.54548E-02
 0.22069E+00 -0.31724E+00  0.00000E+00 -0.12728E-04  0.32872E-03  0.55158E-02
 0.23448E+00 -0.31724E+00  0.00000E+00  0.15316E-05  0.32996E-03  0.55475E-02
 0.24828E+00 -0.31724E+00  0.00000E+00  0.15928E-04  0.32942E-03  0.55484E-02
 0.26207E+00 -0.31724E+00  0.00000E+00  0.30238E-04  0.32708E-03  0.55178E-02
 0.27586E+00 -0.31724E+00  0.00000E+00  0.44233E-04  0.32295E-03  0.54558E-02
 0.28966E+00 -0.31724E+00  0.00000E+00  0.57689E-04  0.31711E-03  0.53633E-02
 0.30345E+00 -0.31724E+00  0.00000E+00  0.70393E-04  0.30968E-03  0.52423E-02
 0.31724E+00 -0.31724E+00  0.00000E+00  0.82159E-04  0.30079E-03  0.50952E-02
 0.33103E+00 -0.31724E+00  0.00000E+00  0.92834E-04  0.29066E-03  0.49255E-02
 0.34483E+00 -0.31724E+00  0.00000E+00  0.10230E-03  0.27949E-03  0.47369E-02
 0.35862E+00 -0.31724E+00  0.00000E+00  0.11049E-03  0.26751E-03  0.45335E-02
 0.37241E+00 -0.31724E+00  0.00000E+00  0.11738E-03  0.25495E-03  0.43195E-02
 0.38621E+00 -0.31724E+00  0.00000E+00  0.12297E-03  0.24204E-03  0.40989E-02
 0.40000E+00 -0.31724E+00  0.00000E+00  0.12730E-03  0.22899E-03  0.38755E-02
 0.00000E+00 -0.30345E+00  0.00000E+00 -0.11740E-03  0.16817E-03  0.26083E-02
 0.13793E-01 -0.30345E+00  0.00000E+00 -0.11680E-03  0.17812E-03  0.27665E-02
 0.27586E-01 -0.30345E+00  0.00000E+00 -0.11556E-03  0.18835E-03  0.29296E-02
 0.41379E-01 -0.30345E+00  0.00000E+00 -0.11361E-03  0.19879E-03  0.30968E-02
 0.55172E-01 -0.30345E+00  0.00000E+00 -0.11090E-03  0.20936E-03  0.32667E-02
 0.68966E-01 -0.30345E+00  0.00000E+00 -0.10736E-03  0.21997E-03  0.34380E-02
 0.82759E-01 -0.30345E+00  0.00000E+00 -0.10296E-03  0.23050E-03  0.36092E-02
 0.96552E-01 -0.30345E+00  0.00000E+00 -0.97644E-04  0.24086E-03  0.37782E-02
